107 《入殓师》 (2008)  8.9分  评价数:467430  短评:死可能是一道门，逝去并不是终结，而是超越，走向下一程。
108 《小森林 冬春篇》 (2015)  9.0分  评价数:291374  短评:尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
109 《唐伯虎点秋香》 (1993)  8.6分  评价数:803115  短评:华太师是黄霑，吴镇宇四大才子之一。
110 《爱在黎明破晓前》 (1995)  8.8分  评价数:469990  短评:缘分是个连绵词，最美不过一瞬。
111 《消失的爱人》 (2014)  8.7分  评价数:695287  短评:年度最佳date movie。
112 《一一》 (2000)  9.0分  评价数:275131  短评:我们都曾经是一一。
113 《菊次郎的夏天》 (1999)  8.8分  评价数:433847  短评:从没见过那么流氓的温柔，从没见过那么温柔的流氓。
114 《超脱》 (2011)  8.9分  评价数:365604  短评:穷尽一生，我们要学会的，不过是彼此拥抱。
115 《蝙蝠侠：黑暗骑士崛起》 (2012)  8.8分  评价数:555653  短评:诺兰就是保证。
116 《侧耳倾听》 (1995)  8.9分  评价数:356370  短评:少女情怀总是诗。
117 《倩女幽魂》 (1987)  8.7分  评价数:564935  短评:两张绝世的脸。 
118 《无人知晓》 (2004)  9.1分  评价数:218984  短评:我的平常生活就是他人的幸福。
119 《超能陆战队》 (2014)  8.7分  评价数:773984  短评:Balalala~~~
120 《甜蜜蜜》 (1996)  8.8分  评价数:402460  短评:相逢只要一瞬间，等待却像是一辈子。
121 《萤火之森》 (2011)  8.9分  评价数:392145  短评:触不到的恋人。
122 《功夫》 (2004)  8.6分  评价数:762582  短评:警恶惩奸，维护世界和平这个任务就交给你了，好吗？
123 《玛丽和马克思》 (2009)  8.9分  评价数:351079  短评:你是我最好的朋友，你是我唯一的朋友 。
124 《借东西的小人阿莉埃蒂》 (2010)  8.8分  评价数:421351  短评:曾经的那段美好会沉淀为一辈子的记忆。
125 《人生果实》 (2017)  9.5分  评价数:117977  短评:土壤没有落叶不会肥沃，没有了你就不算人生。
126 《驯龙高手》 (2010)  8.7分  评价数:592484  短评:和谐的生活离不开摸头与被摸头。
127 《爱在日落黄昏时》 (2004)  8.8分  评价数:394515  短评:九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
128 《告白》 (2010)  8.7分  评价数:562872  短评:没有一人完全善，也没有一人完全恶。
129 《大鱼》 (2003)  8.8分  评价数:449965  短评:抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
130 《幸福终点站》 (2004)  8.8分  评价数:421761  短评:有时候幸福需要等一等。 
131 《阳光姐妹淘》 (2011)  8.8分  评价数:485262  短评:再多各自牛逼的时光，也比不上一起傻逼的岁月。 
132 《完美的世界》 (1993)  9.1分  评价数:207975  短评:坏人的好总是比好人的好来得更感人。
133 《射雕英雄传之东成西就》 (1993)  8.7分  评价数:504482  短评:百看不厌。 
134 《恐怖直播》 (2013)  8.8分  评价数:498367  短评:恐怖分子的“秋菊打官司”。
135 《哈利·波特与阿兹卡班的囚徒》 (2004)  8.8分  评价数:462013  短评:不一样的导演，不一样的哈利·波特。
136 《天书奇谭》 (1983(中国大陆))  9.2分  评价数:172362  短评:传奇的年代，醉人的童话。
137 《怪兽电力公司》 (2001)  8.7分  评价数:502922  短评:不要给它起名字，起了名字就有感情了。
138 《神偷奶爸》 (2010)  8.6分  评价数:757715  短评:Mr. I Don't Care其实也有Care的时候。
139 《玩具总动员3》 (2010)  8.8分  评价数:389493  短评:跨度十五年的欢乐与泪水。
140 《傲慢与偏见》 (2005)  8.6分  评价数:598560  短评:爱是摈弃傲慢与偏见之后的曙光。
141 《时空恋旅人》 (2013)  8.8分  评价数:437635  短评:把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
142 《教父3》 (1990)  8.9分  评价数:270172  短评:任何信念的力量，都无法改变命运。
143 《血战钢锯岭》 (2016)  8.7分  评价数:624340  短评:优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
144 《釜山行》 (2016)  8.5分  评价数:898453  短评:揭露人性的丧尸题材力作。
145 《哈利·波特与密室》 (2002)  8.7分  评价数:484451  短评:魔法的密室之门已打开...
146 《哪吒闹海》 (1979)  9.1分  评价数:193250  短评:想你时你在闹海。
